Label,Unit,PID,Formula No,Min,Max,Skip Read,Digit,Warning
ABP,psi,0133,0,0,20,10,TRUE,20
SPEED,km/h,010D,8,0,250,1,FALSE,120
RPM,rev/m,010C,2,0,80,0,TRUE,6
GEAR,,221E12,8,1,70,1,FALSE,99
ECT,°c,0105,1,0,150,2,FALSE,99
EOT,°c,015C,1,0,150,2,FALSE,99
TFT,°c,221E1C,9,0,150,2,FALSE,99
EGR POS,%,0169,10,0,100,1,FALSE,99
VGT POS,%,0171,4,0,100,1,FALSE,99
BOOST,psi,0187,6,0,40,0,TRUE,35
FRP,psi,016D,7,0,30000,0,FALSE,15000
RPM,rev/m,010C,2,0,80,0,TRUE,6
ENGINE RT,Hours,017F,13,0,99999,4,FALSE,99999
ODOMETER,km,01A6,24,0,1000000,4,FALSE,1000000
RUNTIME,Hours,011F,22,0,65792,4,FALSE,65792
DPF DIFF,psi,017A,10,0,100,4,FALSE,99
DPF LVL,%,017B,11,0,100,4,FALSE,99
DPF TEMP,°c,017C,21,0,1500,1,FALSE,1500
INJTIMING,DEG,015D,16,-10,10,0,TRUE,99
EGT,°c,2203F4,19,0,800,0,FALSE,1500
ALT CURR,Amp,220551,23,-100,100,0,FALSE,100
RPM,rev/m,010C,2,0,80,0,TRUE,6
BOOST,psi,0187,6,0,40,0,TRUE,35
MAF,g/s,0110,17,0,80,0,TRUE,600
FRP,psi,016D,7,0,30000,0,FALSE,15000
EGT,°c,2203F4,19,0,800,0,FALSE,1500
